,,,,Target,Phase 1,,,,Phase 2,,,,Phase 3,,Phase 4,,,
feature,source_group,probe_group,system,required_count,patients_collected,Gap (required- pass- pending),patients_pending_multiframe,patients_pending_multiframe_not_collected,patients_pending_curation,patients_pass_curation,patients_failed_curation,Total patients was curated (K+L),pending_annotations,Complete_annotations (number of frames?),Pending Review-,Frames_pass_Review,Frames_failed_Review,Total Frames was Reviewed
needle,external,12L / L412t,Chameleon,7,0,,0,0,0,0,0,,,,,,,
needle,external,15C,Chameleon,7,0,,0,0,0,0,0,,,,,,,
needle,external,29C,Chameleon,7,0,,0,0,0,0,0,,,,,,,
needle,external,9L,Chameleon,8,0,,0,0,0,0,0,,,,,,,
needle,external,L1022,Chameleon,7,0,,0,0,0,0,0,,,,,,,
needle,external,L420t,Chameleon,8,0,,0,0,0,0,0,,,,,,,
needle,external,L818i / L8-18t,Chameleon,9,0,,0,0,0,0,0,,,,,,,
needle,external,ML615,Chameleon,7,0,,0,0,0,0,0,,,,,,,
needle total,,,,60,0,,0,0,0,0,0,,,,,,,
nerveblox,internal,12L / L412t,Chameleon,12,11,,1,0,11,0,0,,,,,,,
nerveblox,internal,9L,Chameleon,12,9,,0,0,9,0,0,,,,,,,
nerveblox,internal,Air12L,Chameleon,12,9,,0,0,9,0,0,,,,,,,
nerveblox,internal,L420t,Chameleon,12,9,,2,0,9,0,0,,,,,,,
nerveblox,internal,ML615,Chameleon,12,10,,1,0,10,0,0,,,,,,,
nerveblox total,,,,60,48,,4,0,48,0,0,,,,,,,
rtef,external,3Sc,Chameleon,10,0,,0,0,0,0,0,,,,,,,
rtef,internal,3Sc,Chameleon,10,16,,0,0,0,13,3,,,,,,,
rtef,internal,4Sc,Chameleon,9,0,,23,23,0,0,0,,,,,,,
rtef,external,Air3Sc,Chameleon,10,0,,0,0,0,0,0,,,,,,,
rtef,internal,Air3Sc,Chameleon,9,3,,18,18,1,2,0,,,,,,,
rtef,external,M5Sc,Chameleon,10,0,,0,0,0,0,0,,,,,,,
rtef,internal,M5Sc,Chameleon,10,15,,0,0,0,12,3,,,,,,,
rtef total,,,,68,34,,41,41,1,27,6,,,,,,,
vti,external,3Sc,Chameleon,15,0,,0,0,0,0,0,,,,,,,
vti,internal,3Sc,Chameleon,19,25,,0,0,11,12,2,,,,,,,
vti,external,4Sc,Chameleon,0,0,,0,0,0,0,0,,,,,,,
vti,internal,4Sc,Chameleon,13,21,,0,0,21,0,0,,,,,,,
vti,external,M5Sc,Chameleon,15,0,,0,0,0,0,0,,,,,,,
vti,internal,M5Sc,Chameleon,13,23,,0,0,14,8,1,,,,,,,
vti total,,,,75,69,,0,0,46,20,3,,,,,,,
